,Latitud,Longitud,Alias,Precipitacion,Grupo
58,-33.4542521,-70.748249,Scandium,23.0,RM
59,-33.655,-71.0408,El Paico,23.0,RM
60,-33.44194,-70.56306,Tadeo,23.0,RM
61,-33.558016,-70.615033,Andy e Iván,23.0,RM
62,-33.4401249,-70.600959,Tranqui,23.0,RM
63,-33.395182,-70.588737,Vitacumbia,22.0,RM
64,-33.612675,-70.72276,Hueñimalal,22.0,RM
65,-33.6493055555556,-70.6056388888889,IsaPir,22.0,RM
66,-33.50167,-70.586438,Terra-Aqua,22.0,RM
67,-33.5455908,-70.665925,Parque,22.0,RM
68,-33.445999,-70.588186,Pedro_Torres,21.0,RM
69,-33.529856,-70.587167,El Limón,21.0,RM
70,-33.4874038,-70.6606549,Panchito's house,20.5,RM
71,-33.2539999,-70.6294618,Piedraroja,20.0,RM
72,-33.52583,-70.667812,San Simón,20.0,RM
73,-33.4609,-70.594277,Johow,20.0,RM
74,-33.55672433,-70.7812371,AMC,20.0,RM
75,-33.443306,-70.6773,Chuca,20.0,RM
76,-33.563922,-70.6701799,SevenAlan,20.0,RM
77,-33.5279343,-70.6488591,ElectroAdo,20.0,RM
78,-33.704432,-70.89853,Granortu,19.5,RM
79,-33.51119,-70.66195,Fajardo,19.2,RM
80,-33.6044444,-70.8980556,BATA,19.0,RM
81,-33.450585,-70.591376,Brownpoint,19.0,RM
82,-33.52158,-70.6577,Liceo RBL,19.0,RM
83,-33.571829,-70.826461,fcoelectro,18.0,RM
84,-33.58335,-70.58658,Jack2007,18.0,RM
85,-33.514863,-70.634205,Heidi2010,17.2,RM
86,-33.512062,-70.769442,Maipu_Templo,17.2,RM
87,-33.456944444444446,-70.66166666666668,DGF,17.0,RM
88,-33.7427629,-70.748651,Buin Centro,17.0,RM
89,-32.99055555555556,-71.18027777777779,Colibrí,17.0,RM
90,-33.562211,-70.885686,Aromito,17.0,RM
91,-33592121.0,-70707756.0,Saitama,17.0,RM
92,-33.54523,-70.6429,pekee2006,16.0,RM
93,-33.04158333333333,-70.98044444444444,Caleu Las Cortaderas,16.0,RM
94,-33.40343,-70.70815,Djoko,16.0,RM
95,-33.63026,-70.75037,Almendros,15.0,RM
96,-33.466772,-70.86392,Ciudad de los Valles,15.0,RM
97,-33.5047663,-70.754341,Munich,15.0,RM
98,-33.52718,-70.77573,Pepe Carter,14.0,RM
99,-33.07089722222223,-70.98711388888889,Asiento Viejo,14.0,RM
100,-33.35935,-70.72336,mawün,14.0,RM
101,-33.5071009,-70.708747,Rocío,14.0,RM
102,-33.454455,-70.85234,MIGIOMI,13.9,RM
103,-33.307339,-70.660102,Chamisero,13.0,RM
104,-33.260994,-70.644855,Ñipa,13.0,RM
105,-33.3498598,-70.73458217,Lásaro,13.0,RM
106,-33.07638333333334,-70.94580555555557,Los Quilos ,13.0,RM
107,-33.255169,-70.881025,Lampa_Rural,13.0,RM
108,-33.41354,-70.58728,MPM,12.0,RM
109,-33.1512806,-70.8892361,La Plazuela,12.0,RM
110,-33.528298,-70.6411026,Pep9,12.0,RM
111,-33.52789,-70.76574,Quincho,11.5,RM
112,-33.095111111111116,-70.92550833333334,El Sauce,11.0,RM
113,-32.99071111111111,-70.89506111111112,Rungue,11.0,RM
114,-33.235,-70.673333,Chicureo,10.0,RM
115,-33.07725555555556,-70.9251,TilTil Centro,9.7,RM
116,-33.46936111111111,-70.65347222222223,Melissandra,9.0,RM
117,-33.135,-70.7972222,Huertos Familiares,8.5,RM
118,-33.118275,-70.84519444444445,Punta Peuco,8.5,RM
119,-33.164083,-70.787468,AEM Til Til,7.0,RM
120,-33.11244444444445,-70.79876944444445,Santa Matilde,6.7,RM
121,-32.93295833333333,-70.81376388888889,La Cumbre,6.5,RM
122,-32.94729722222222,-70.75080833333334,Rincón de los Valle,6.5,RM
123,-33.163019444444444,-70.78773333333334,Alto el Manzano,6.2,RM
124,-32.96924166666667,-70.83778333333333,Montenegro,6.0,RM
125,-33.5902778,-70.4852778,La Obra EMOS DGA,70.7,EMA
126,-34.065,71.2538888,Alhué,46.6,EMA
127,-33.597499,-70.379443,Maipo Manzano DGA,44.2,EMA
128,-33.500833,-70.514166,Qda Macul DGA,43.2,EMA
129,-33.8908333,-71.233611,Los Guindos - DGA,32.5,EMA
130,-33.665833333,-70.1077778,Laguna Negra DGA,29.5,EMA
131,-33.615277,-70.350555,Guayacan DMC,29.2,EMA
132,-33.636388,-70.356944,San José de Maipo Retén - DGA,28.7,EMA
133,-33.45528,-70.54222,Aer. Tobalaba DMC,28.6,EMA
134,-33.673888889,-70.586944444,Pirque,28.4,EMA
135,-33.37361,-70.396388,Rio Molina DGA,28.3,EMA
136,-33.673888,-70.586666,Pirque DGA,27.1,EMA
137,-33.531111,-70.2619444,Maitenes - DGA,26.0,EMA
138,-33.8913888,-71.3941667,San Pedro,24.8,EMA
139,-33.650277,-71.100277,Melipilla FDF,24.6,EMA
140,-33.811111,-70.88361,Angostura en Valdivia de Paine,23.9,EMA
141,-33.344444,-70.363889,Estero Yerba Loca a/j San Fco.,23.8,EMA
142,-34.029166,-70.994999,El Asiento INIA,23.8,EMA
143,-33.725554,-71.042499,Sn Antonio Naltahua INIA,23.5,EMA
144,-33.508555,-71.084029,El Parrón,23.0,EMA
145,-33.754444,-70.764444,El Milagro DMC,21.8,EMA
146,-33.1686089,-71.1557171,Colliguay,21.1,EMA
147,-33.898055,-71.452777,San Pedro Melipilla  INIA,20.0,EMA
148,-33.7986592,-70.8413394,Valdivia de Paine,19.9,EMA
149,-33.668744,-70.912195,Santa Amelia,19.8,EMA
150,-33.767499,-71.530554,Cabimbao DGA,19.5,EMA
151,-33.670277,-70.849444,Talagante DMC,19.4,EMA
152,-33.736215,-71.421579,Cuncumén INIA,19.4,EMA
153,-33.661388,-71.336944,Estero Puangue - DGA,18.9,EMA
154,-33.438888,-71.025277,Panguiles DGA,18.7,EMA
155,-33.445,-70.67778,Q. Normal DMC,18.1,EMA
156,-33.572777,-70.619721,La Platina (INIA),18.0,EMA
157,-33.763888,-70.886666,Isla de Maipo FDF,17.7,EMA
158,-33.429661,-71.029152,La Aurora,17.4,EMA
159,-33.44861,-70.64389,DGA - Terraza Central,17.3,EMA
160,-33.662777,-70.765833,Sn Bernardo Lo Herrera FDF,17.0,EMA
161,-33.370554,-70.451111,Mapocho - Almendros DGA,16.6,EMA
162,-33.673332,-70.92111,Talagante FDF,16.2,EMA
163,-33.691944,-71.101111,El Monte FDF,16.0,EMA
164,-33.1471111,-70.6602222,Peldehue Agromet,16.0,EMA
165,-33.718611111,-70.66917,Santa Rita,15.8,EMA
166,-33.5716667,-71.1016667,Mallarauco - DGA,15.6,EMA
167,-33.6767,-70.0886,El Yeso Embalse - DGA,15.5,EMA
168,-33.562443,-70.875305,El Villorio,15.5,EMA
169,-33.442221,-70.746666,San Pablo DMC,15.4,EMA
170,-33.497221,-70.845555,Rinconada INIA,15.2,EMA
171,-33.711666,-70.711944,Los Tilos (INIA),14.0,EMA
172,-33.286388,-70.83611,El Oasis INIA,11.3,EMA
173,-33.2488,-70.72322,Chacabuco - INIA,10.1,EMA
174,-33.43861,-71.025554,Curacaví FDF,9.6,EMA
175,-33.37833,-70.79639,Aer. Pudahuel DMC,9.5,EMA
176,-33.113888,-70.685833,Peldehue Ad DMC,8.8,EMA
177,-33.123888,-70.828054,Polpaico DMC,8.2,EMA
178,-33.218888,-70.715833,Colina FDF,7.8,EMA
179,-33.34368,-70.8185,Chorrillos,7.3,EMA
180,-33.624999,-70.799444,Calera de Tango FDF,7.2,EMA
181,-33.707222,-70.707222,Buin FDF,6.8,EMA
