index,Latitud,Longitud,Alias,Precipitacion,Grupo
43,-33.491065,-70.587073,Patio,49.0,RM
44,-33.512062,-70.769442,Maipu_Templo,66.0,RM
45,-33.5047663,-70.754341,Munich,47.0,RM
46,-33.5761125,-71.0873969,AgricHarrison,75.0,RM
47,-33.4624675,-70.6271803,Tomás,54.0,RM
48,-33.456043,-70.598147,Morgana,42.5,RM
49,-33.4609,-70.594277,Johow,42.0,RM
50,-33.450585,-70.591376,Brownpoint,36.5,RM
51,-32.99055555555556,-71.18027777777779,Colibrí,90.0,RM
52,-33.562211,-70.885686,Aromito,68.0,RM
53,-33.53836888888889,-70.91502100000001,Cirrus,67.0,RM
54,-33.820417,-70.741041,Probeta,75.0,RM
55,-33.820713,-70.761706,Japón,55.0,RM
56,-33.4917,-70.675,Abranquil,56.0,RM
57,-33.4874038,-70.6606549,Panchito's house,37.0,RM
58,-33.6044444,-70.8980556,BATA,53.0,RM
59,-33.5005704,-70.535267,Pirquera,49.0,RM
60,-33.4733008,-70.5329882,CasaAnto,47.0,RM
61,-33.487568,-70.574487,Ciudadana,45.0,RM
62,-33.4893921,-70.541795,Puyehue,45.0,RM
63,-33.50167,-70.586438,Terra-Aqua,44.0,RM
64,-33.6493055555556,-70.6056388888889,IsaPir,40.0,RM
65,-33.436461,-70.620565,Ministro,45.0,RM
66,-33.4236496,-70.6002209,Ito596,42.0,RM
67,-33.4401249,-70.600959,Tranqui,40.0,RM
68,-33.60863,-70.53107,Cordillera,54.0,RM
69,-33.5821241,-70.5858865,CasaPabla,52.0,RM
70,-33.60863,-70.53107,El Páramo,40.0,RM
71,-33.40343,-70.70815,Djoko,27.0,RM
72,-33.592121,-70.707756,Saitama,48.0,RM
73,-33.6424739,-70.6979683,Mi Casa sector Sur,42.0,RM
74,-33.5783328,-70.451299,El Canelo,83.0,RM
75,-33.586952,-70.466303,Las Vertientes,74.0,RM
76,-33.762359,-70.279106,pachamos,72.0,RM
77,-33.578198,-70.405527,Alicura,70.0,RM
78,-33.634484,-70.35255,San José,58.0,RM
79,-33.51119,-70.66195,Fajardo,52.0,RM
80,-33.528298,-70.6411026,Pep9,49.2,RM
81,-33.456944444444446,-70.66166666666668,DGF,43.1,RM
82,-33.4333882,-70.6584614,Ado,42.6,RM
83,-33.003119,-70.999335,Los Quillayes,184.0,RM
84,-33.002995,-70.997043,Profe Luis,171.0,RM
85,-33.0447222222222,-70.9913889,patorod,133.0,RM
86,-33.07089722222223,-70.98711388888889,Asiento Viejo,123.0,RM
87,-33.07638333333334,-70.94580555555557,Los Quilos ,122.0,RM
88,-32.96924166666667,-70.83778333333333,Montenegro,116.0,RM
89,-32.94729722222222,-70.75080833333334,Rincón de los Valle,108.0,RM
90,-32.99071111111111,-70.89506111111112,Rungue,102.0,RM
91,-33.08021111111111,-70.88654166666667,La Aguada,93.0,RM
92,-33.07725555555556,-70.9251,Til Til Centro,91.0,RM
93,-33.04158333333333,-70.98044444444444,Caleu Las Cortaderas,87.0,RM
94,-32.93295833333333,-70.81376388888889,La Cumbre,79.0,RM
95,-33.09511111111112,-70.92550833333334,El Sauce,78.0,RM
96,-33.11244444444445,-70.79876944444445,Santa Matilde,72.0,RM
97,-33.135,-70.7972222,Huertos Familiares,51.0,RM
98,-33.118275,-70.84519444444445,Punta Peuco,44.0,RM
99,-33.385938,-70.581230114,Vitacura,80.0,RM
100,-33.3890092,-70.5560782,Villa El Dorado,69.0,RM
101,-33.395182,-70.588737,Vitacumbia,54.0,RM
102,-33.38783,-70.553479,Escultor,54.0,RM
103,-34.029166,-70.994999,El Asiento - INIA,68.7,EMA
104,-34.065277,-71.254166,Alhué FDF,111.2,EMA
105,-33.7986592,-70.8413394,Valdivia de Paine,80.8,EMA
106,-33.711666,-70.711944,Los Tilos (INIA),63.2,EMA
107,-33.707222,-70.707222,Buin FDF,53.0,EMA
108,-33.162222,-70.643055,Colina (DMC),67.7,EMA
109,-33.2488,-70.72322,Chacabuco - INIA,64.9,EMA
110,-33.411111,-71.167777,Curacavi (DMC),74.4,EMA
111,-33.438888,-71.025277,Panguiles (DGA),53.7,EMA
112,-33.429661,-71.029152,La Aurora,52.9,EMA
113,-33.43861,-71.025554,Curacaví FDF,45.9,EMA
114,-33.706388,-71.008055,El Paico (DMC),79.2,EMA
115,-33.763888,-70.886666,Isla de Maipo FDF,67.8,EMA
116,-33.725554,-71.042499,Sn Antonio Naltahua - INIA,64.1,EMA
117,-33.572777,-70.619721,La Platina (INIA),51.0,EMA
118,-33.45528,-70.54222,Aer. Tobalaba (DMC),60.6,EMA
119,-33.286388,-70.83611,El Oasis - INIA,70.7,EMA
120,-33.34368,-70.8185,Chorrillos,45.4,EMA
121,-33.394999,-70.536666,Calán (DGA),51.5,EMA
122,-33.370554,-70.451111,Mapocho - Almendros (DGA),54.9,EMA
123,-33.497221,-70.845555,Rinconada de Maipú - INIA,63.9,EMA
124,-33.508555,-71.084029,El Parrón,62.9,EMA
125,-33.8908333,-71.233611,Los Guindos (DGA),97.8,EMA
126,-33.650277,-71.100277,Melipilla FDF,84.4,EMA
127,-33.680277,-71.1997,Melipilla Esc. Tec. (DGA),65.7,EMA
128,-33.562443,-70.875305,El Villorio,67.1,EMA
129,-33.811111,-70.88361,Angostura en Valdivia de Paine (DGA),82.8,EMA
130,-33.8858333,-70.8775,Laguna de Aculeo (DGA),49.0,EMA
131,-33.861944,-70.639166,Huelquén FDF,48.8,EMA
132,-33.5716667,-71.1016667,Mallarauco (DGA),65.8,EMA
133,-33.500833,-70.514166,Quebrada Macul (DGA),50.0,EMA
134,-33.673888,-70.586666,Pirque (DGA),61.4,EMA
135,-33.458055,-70.94861,Lo Prado (DMC),68.3,EMA
136,-33.442221,-70.746666,San Pablo (DMC),54.1,EMA
137,-33.37833,-70.79639,Aer. Pudahuel (DMC),51.3,EMA
138,-33.1686089,-71.1557171,Colliguay,135.5,EMA
139,-33.736215,-71.421579,Cuncumén INIA,107.9,EMA
140,-33.5902778,-70.4852778,La Obra EMOS (DGA),83.7,EMA
141,-33.809722,-70.210277,Rio Volcan  en Queltehues (DGA),74.0,EMA
142,-33.636388,-70.356944,San José de Maipo Retén  (DGA),57.2,EMA
143,-33.597499,-70.379443,Maipo en el Manzano (DGA),53.8,EMA
144,-33.615277,-70.350555,Guayacan (DMC),50.9,EMA
145,-33.898055,-71.452777,San Pedro Melipilla  INIA,108.3,EMA
146,-33.665833333,-70.1077778,Laguna Negra (DGA),47.1,EMA
147,-33.445,-70.67778,Quinta Normal (DMC),54.9,EMA
148,-33.44861,-70.64389,DGA - Terraza Central,46.9,EMA
149,-33.673332,-70.92111,Talagante FDF,72.3,EMA
150,-33.668744,-70.912195,Santa Amelia,70.0,EMA
151,-33.121388,-70.834166,Til Til FDF,63.4,EMA
